"Control1" "Control2" "Control3" "Treatment1" "Treatment2" "Treatment3" "control" "experimental" "ratio" "ratio_log2"
"245506_at" 29.0766966192772 64.7485554672906 12.9686691378668 130.058011475168 49.039011878745 162.304214065722 35.5979737414782 113.800412473212 3.19682275456631 1.67663875719415
"245520_at" 19.9529858027878 352.931827572705 31.9658924955684 33.9592914011479 7.81023300732553 32.8346574739447 134.950235290354 24.8680606274727 0.184275785618065 -2.44006158584954
"245530_at" 66.4107811356665 26.3946969189379 415.582653756686 54.0294216731142 74.2410759136689 95.4461203979095 169.462710603763 74.5722059948975 0.440050827283542 -1.18425792560352
"245538_at" 12.4430215849018 21.5635599156925 50.3637035241151 211.839449137347 10.5297054348338 13.3877805625907 28.1234283415698 78.5856450449238 2.79431241776326 1.48249333011039
"245548_at" 53.3296519972099 13.5920131203073 26.2381375285551 156.857991665232 61.11583118755 7.18794081207219 31.0532675486908 75.0539212216181 2.41694118353038 1.27318236542393
"245551_at" 34.8457777767257 268.857442537455 310.516217884547 39.9010530057241 24.534514961535 16.630369017394 204.739812732909 27.0219789948844 0.131982044108517 -2.92158642771023
"245570_at" 6.34204142682752 27.3148166197016 274.132298339382 11.1959555759044 5.69325968729631 17.9718533705904 102.59638546197 11.6203562112637 0.113262822651496 -3.14225370573262
"245574_at" 136.206283878015 94.267218827754 51.467029457868 312.169853432437 187.152921073703 131.115995976144 93.980177387879 210.146256827428 2.23607001676644 1.16096536316332
"245579_at" 41.1788327024164 86.8265971902386 138.655227071557 11.334611423554 21.3315732749787 20.0428311821351 88.8868856547373 17.5696719602226 0.197663264167769 -2.33888332461735
"245591_at" 1.23911271249115 26.76588447601 14.5913806830111 50.5380142398986 18.9479515130738 30.0624346962092 14.1987926238374 33.1828001497272 2.33701562018863 1.22466737686501
"245600_at" 274.711131718059 367.116717000729 610.809218001672 36.3484321102271 273.053391058614 36.2620053967175 417.54568890682 115.22127618852 0.275948906310544 -1.85752692729028
"245609_at" 6.19579616511371 31.0887603350942 127.25459677381 349.432482936138 32.0574795083463 133.917807153339 54.8463844246726 171.802589865941 3.13243236847999 1.64728336103577
"245613_at" 20.0419748113347 60.6209336389526 95.6069854940226 319.508486793234 16.9877993798965 70.0409539986687 58.75663131477 135.5124133906 2.30633394662528 1.20560142376962
"245617_at" 73.6906300066353 134.013752092637 15.033683078734 523.02717961478 160.058361144684 85.774412962793 74.2460217260021 256.286651240752 3.45185701917544 1.78737270727508
"245620_at" 4.38698111649966 44.3704735135813 15.5118580015253 139.502931217421 11.0005951922394 15.8992505141605 21.4231042105354 55.4675923079403 2.58914822813878 1.37247756156064
"245628_at" 31.3796493622278 30.1576434049008 71.1894192435141 476.559960764344 88.9565373547525 51.0789881034084 44.2422373368809 205.531828740835 4.64560205614875 2.21586557769185
"245630_at" 116.834988235057 377.221223320756 272.522943232723 18.4941099415485 123.66353893941 94.6741878248533 255.526384929512 78.9439455686039 0.30894635632395 -1.69457173631735
"245635_at" 50.884068849016 88.0131607150619 43.7591967963309 280.317815303671 81.9778134349246 91.7959536019981 60.8854754534696 151.363860780198 2.48604219073356 1.31385078064043
"245640_at" 11.8442539494737 96.3603216647211 16.8837219973317 29.9248306580294 3.51650310463346 27.2964022054564 41.6960992038422 20.2459119893731 0.48555889821721 -1.04228178994913
"245643_at" 31.7481208321733 28.1531611155518 70.8003800727232 289.677372442839 85.2152125289968 179.916155064112 43.5672206734828 184.936246678649 4.24484839335209 2.08571302820353
"245646_x_at" 49.9578732888438 182.423227917479 123.402999663219 11.4951446302861 81.6051127271979 70.4145642925241 118.594700289847 54.5049405500027 0.459590018919832 -1.12158062808528
"245648_at" 5.4959424666373 11.9234696537558 24.4994456162028 149.333039050587 9.7300140994207 117.670651542405 13.9729525788653 92.2445682308042 6.60165184918241 2.7228270572666
"245652_at" 9.53881880972802 13.7945695142533 40.0055801549613 313.977788516069 19.8139149368946 174.499591218418 21.1129894929809 169.430431557127 8.02493799437807 3.00449024512605
"245653_at" 9.41462694141612 156.710974902564 276.04407492818 35.4749995048743 3.73775405380498 7.30244626643274 147.389892257387 15.5050666083707 0.10519762495853 -3.24882596154261
"245654_at" 71.2678653707705 91.6432769016808 626.3270154969 10.0004465955667 24.174106371215 75.0296428007415 263.079385923117 36.4013985891744 0.138366594028057 -2.85343242104153
"245655_at" 2.60085000612676 55.0631258907462 341.089192569692 10.8656601056639 14.2751224604875 86.2119899591657 132.917722822188 37.1175908417724 0.279252383005588 -1.84035850286033
"245656_at" 12.3411413091087 30.4827177281603 44.8471774771825 22.8102711285123 6.0871684990268 12.1524581858707 29.2236788381505 13.6832992711366 0.468226445647682 -1.09472167404851
"245661_at" 102.921747631765 271.424277148249 269.601550042049 13.9361540612871 44.9774586321915 206.046445058319 214.649191607354 88.3200192505992 0.41146215641081 -1.28116834776197
"245664_at" 26.4131199702707 296.680762859262 44.9760827738874 10.3319235229448 4.25914051076359 11.2825073827817 122.689988534473 8.6245238054967 0.0702952531703382 -3.83042891809893
"245669_at" 24.7828804122972 128.370234347446 39.8195332823681 44.7561076681088 16.7017418433059 24.5678716739486 64.3242160140371 28.6752403951211 0.445792302993067 -1.16555638750817
"245671_at" 96.4162063679191 252.78448123384 346.58868423329 31.6940742253395 119.788666613834 194.026580182608 231.929790611683 115.169773673927 0.496571714095816 -1.00992601036804
"245674_at" 260.228120627354 385.405870968969 771.699291665326 65.7962479391578 392.370252006742 116.886452609054 472.444427753883 191.684317518318 0.40572881434888 -1.30141233032182
"245675_at" 83.8655085093146 197.794414381487 191.593296677195 32.9108351707167 55.62202874005 109.495785958743 157.751073189332 66.0095499565032 0.418441210078354 -1.25690315284375
"245676_at" 35.2839028581619 186.860400352514 53.2732515960712 11.1593641197986 28.9405421620745 21.4592665767456 91.805851602249 20.5197242862062 0.223512161023334 -2.16157476607046
"245680_at" 48.6803800203226 43.7404595302401 54.7977680886741 199.759942965069 24.809963651864 241.760671397268 49.0728692130789 155.443526004734 3.16760622513804 1.66339300071106
"245685_at" 212.306874375635 259.444858630977 194.533989947606 34.3312932275218 117.387643017756 43.3806090473227 222.095240984739 65.0331817642002 0.292816637924577 -1.77193056459422
"245689_at" 38.3614435095728 38.4666132181359 32.1405040841471 43.503941140691 66.7345534764978 224.71084251282 36.3228536039519 111.649779043336 3.07381628824418 1.62003094253057
"245696_at" 20.4651158252025 29.4778440921278 37.0105107853763 74.6284030730807 10.1070456338606 252.423036521182 28.9844902342355 112.386161742708 3.87745862819974 1.95511138804164
"245701_at" 18.9684242717209 16.0436089008921 22.6876832487624 334.152831519197 82.5636274087352 189.266569195169 19.2332388071251 201.9943427077 10.5023571294123 3.39264125489981
"245702_at" 243.986525892565 343.313694898986 355.995848509086 22.108356862587 165.437531748884 126.977909625224 314.432023100212 104.841266078898 0.333430625307157 -1.58454147421745
"245703_at" 51.1149062356708 141.662743395582 24.2209594649178 14.8965066090795 35.3192657206774 12.8263340823589 72.3328696987235 21.0140354707053 0.29051848154555 -1.78329815023865
"245708_at" 22.0729939336731 30.0310710761668 43.1436065074058 215.325429087081 46.2151376718986 20.1057940991973 31.7492238390819 93.882120286059 2.95698946096736 1.56412910154508
"245713_at" 64.8449564514805 104.210936093947 149.527699674555 10.5909333677104 60.3388194196777 78.5485271915872 106.194530739994 49.8260933263251 0.469196416982329 -1.09173609861719
"245728_at" 51.2416280223877 255.914795284562 185.902105530041 93.4898884370414 39.5123355025814 46.2970153979554 164.352842945664 59.7664131125261 0.363646968566801 -1.45938954512929
"245741_at" 11.5066986643527 17.2592017229201 139.409676044022 265.606653784296 22.8535652246139 55.8534305999535 56.0585254770983 114.771216536288 2.04734633241782 1.03375517163261
"245744_at" 3.2170072331307 23.4223038723034 76.1289536325912 12.9780342190056 13.3806795739783 8.2579019996257 34.2560882460084 11.5388719308699 0.336841493634767 -1.56985822793828
"245745_at" 48.9276070448156 212.402330178199 32.4639359881959 32.9693984796761 27.1636014440532 72.2304625136254 97.9312910704035 44.1211541457849 0.450531731620549 -1.15029937411065
"245749_at" 46.9432849352619 91.8503983721328 51.9840501760083 51.3435121074067 4.57813925595464 32.3803342449804 63.592577827801 29.4339952027806 0.462852681998257 -1.11137501321623
"245753_at" 16.6873821976095 20.0357337742366 217.242304948385 84.3222911232728 0.593471748048181 38.7671240110871 84.6551403067437 41.2276289608027 0.487006799721983 -1.03798617913683
"245754_at" 1.6719834698244 10.2814111993268 169.718903310645 17.6528703103237 2.85746326863918 6.67065698828694 60.5574326599321 9.06033018908327 0.149615493773699 -2.74066851035003
"245755_at" 119.50029607546 307.663165010438 346.889275048209 20.5852732836619 83.5669735488647 191.346372198186 258.017578711369 98.4995396769042 0.381755150826722 -1.38928047218865
"245760_s_at" 68.2393403686699 155.401494889528 195.613504208414 10.4214730752595 24.797890956764 25.9357342011519 139.751446488871 20.3850327443918 0.145866345261873 -2.77728103633737
"245765_at" 98.909839631915 176.305082894631 319.59284046539 69.4246551281118 137.214779827002 89.9749826056463 198.269254330645 98.8714725202534 0.498672741036134 -1.00383475181379
"245766_at" 12.9227656077768 12.6388835706028 66.2884927717738 225.35497065893 42.933396653671 36.7932098648645 30.6167139833845 101.693859059155 3.32151448762084 1.73184120710763
"245775_at" 1808.46932227807 1732.23074573231 1494.30596097526 3059.38491565449 4003.82721874466 4593.84075007058 1678.33534299521 3885.68429482324 2.31520137560157 1.21113768417516
"245779_at" 31.8719054683881 91.9153684705997 83.6368803016356 22.0323758758084 12.8312562796474 9.7533011105184 69.1413847468745 14.8723110886581 0.215099988857692 -2.21692064485885
"245785_at" 9.62766816082283 61.765050637338 34.3104334141352 19.4273481465877 4.93181752158566 10.7474982089609 35.2343840707653 11.7022212923781 0.332125042086024 -1.59020158935699
"245804_at" 17.9452758713947 114.087645492622 230.825395726279 41.9129576519871 7.03600304089693 12.005850174239 120.952772363432 20.318270289041 0.167985155627437 -2.5735943431267
"245805_at" 11.3871494456726 37.7797878297976 36.262178784021 22.8819755798998 7.10227666008968 6.56206292362721 28.4763720198304 12.1821050545389 0.427796948503676 -1.22500190316121
"245811_at" 5.54628867129327 9.413548866146 22.5317182235249 162.894329474373 6.4999327975178 64.6889006280663 12.4971852536547 78.0277209666524 6.24362361467224 2.64238356972892
"245812_at" 12.0520165858124 37.3695604153502 43.711221585431 20.2135713109042 2.27706795998971 12.2629071368692 31.0442661955312 11.5845154692544 0.373161194930159 -1.42212912689867
"245816_at" 59.7929324570445 186.157562465668 55.4722089658246 42.6387573532649 12.0807410054084 27.7467562519331 100.474234629512 27.4887515368688 0.273590056577495 -1.86991229736465
"245820_at" 36.1443794342817 32.9578218152552 22.9698762459174 16.1873429414071 63.2187611239995 244.678067605999 30.6906924984848 108.028057223802 3.51989637344075 1.81553295621377
"245824_at" 29.6358328290841 159.082639505944 46.1986341492507 17.9389560292339 19.2367933198068 12.5294757926021 78.3057021614263 16.5684083805476 0.211586230928522 -2.24068234842537
"245827_at" 97.1280286322648 48.5032112725582 438.932261082307 20.5390471505083 37.6941437206217 22.4653267672033 194.854500329043 26.8995058794444 0.138049189698058 -2.85674567506731
"245830_at" 37.1149099362387 80.6207890331604 84.3713598639609 45.8357831718719 20.0715968258313 21.3052453825793 67.36901961112 29.0708751267608 0.431516968698211 -1.21251080274751
"245835_at" 31.5821884056301 22.7681175816611 21.9432554971455 63.5017499834851 16.5329998942855 124.281234978613 25.4311871614789 68.1053282854612 2.67802394961025 1.42116886276433
