"Control1" "Control2" "Control3" "Treatment1" "Treatment2" "Treatment3" "control" "experimental" "ratio" "ratio_log2"
"245643_at" 31.7481208321733 28.1531611155518 70.8003800727232 289.677372442839 85.2152125289968 179.916155064112 43.5672206734828 184.936246678649 4.24484839335209 2.08571302820353
"245648_at" 5.4959424666373 11.9234696537558 24.4994456162028 149.333039050587 9.7300140994207 117.670651542405 13.9729525788653 92.2445682308042 6.60165184918241 2.7228270572666
"245652_at" 9.53881880972802 13.7945695142533 40.0055801549613 313.977788516069 19.8139149368946 174.499591218418 21.1129894929809 169.430431557127 8.02493799437807 3.00449024512605
"245680_at" 48.6803800203226 43.7404595302401 54.7977680886741 199.759942965069 24.809963651864 241.760671397268 49.0728692130789 155.443526004734 3.16760622513804 1.66339300071106
"245689_at" 38.3614435095728 38.4666132181359 32.1405040841471 43.503941140691 66.7345534764978 224.71084251282 36.3228536039519 111.649779043336 3.07381628824418 1.62003094253057
"245696_at" 20.4651158252025 29.4778440921278 37.0105107853763 74.6284030730807 10.1070456338606 252.423036521182 28.9844902342355 112.386161742708 3.87745862819974 1.95511138804164
"245701_at" 18.9684242717209 16.0436089008921 22.6876832487624 334.152831519197 82.5636274087352 189.266569195169 19.2332388071251 201.9943427077 10.5023571294123 3.39264125489981
"245708_at" 22.0729939336731 30.0310710761668 43.1436065074058 215.325429087081 46.2151376718986 20.1057940991973 31.7492238390819 93.882120286059 2.95698946096736 1.56412910154508
"245741_at" 11.5066986643527 17.2592017229201 139.409676044022 265.606653784296 22.8535652246139 55.8534305999535 56.0585254770983 114.771216536288 2.04734633241782 1.03375517163261
"245766_at" 12.9227656077768 12.6388835706028 66.2884927717738 225.35497065893 42.933396653671 36.7932098648645 30.6167139833845 101.693859059155 3.32151448762084 1.73184120710763
"245775_at" 1808.46932227807 1732.23074573231 1494.30596097526 3059.38491565449 4003.82721874466 4593.84075007058 1678.33534299521 3885.68429482324 2.31520137560157 1.21113768417516
"245811_at" 5.54628867129327 9.413548866146 22.5317182235249 162.894329474373 6.4999327975178 64.6889006280663 12.4971852536547 78.0277209666524 6.24362361467224 2.64238356972892
"245820_at" 36.1443794342817 32.9578218152552 22.9698762459174 16.1873429414071 63.2187611239995 244.678067605999 30.6906924984848 108.028057223802 3.51989637344075 1.81553295621377
"245835_at" 31.5821884056301 22.7681175816611 21.9432554971455 63.5017499834851 16.5329998942855 124.281234978613 25.4311871614789 68.1053282854612 2.67802394961025 1.42116886276433
"245839_at" 60.306752620901 11.4839699615843 44.2198584571184 245.383891466148 79.183206248474 144.969907768666 38.6701936798679 156.512335161096 4.04736362214234 2.01698246904576
"245860_at" 37.0218806767312 9.38716904749733 87.3593088882474 200.560360711395 46.5666977794335 132.746041303359 44.5894528708253 126.624366598062 2.83978291828093 1.50578064990968
"245871_at" 87.9159073545736 34.0452443179986 58.2969183680021 194.061713674969 46.0170493082968 162.821766174719 60.0860233468581 134.300176385995 2.23513171458729 1.16035985081924
"245882_at" 63.40508097573 11.5528565511616 22.4006359826758 180.541729370579 17.0788978793266 48.0543621140965 32.4528578365225 81.891663121334 2.52340374871926 1.3353710583448
"245912_at" 162.061536042214 303.608244105991 544.464102933127 872.551370774453 1072.08779248053 496.826539293038 336.711294360444 813.82190084934 2.41697238696768 1.27320099093041
"245918_at" 9.62441218223066 72.3060017176794 54.5196410041716 433.713006273402 7.40629319382727 118.101555728206 45.4833516346939 186.406951731812 4.09835566272614 2.03504518947023
"245922_at" 15.1411963512487 12.6625781463705 41.2566292683519 126.30584972466 0.334871244840028 17.0520112074957 23.020134588657 47.8975773923319 2.08068190078841 1.05705641955011
"245958_at" 8.07925296270083 10.6489250169805 18.3575182680408 26.6190371872206 3.53132749759167 165.537779916094 12.3618987492407 65.2293815336354 5.27664745172273 2.39962159606806
"245963_at" 57.0000692585217 12.1860445792594 28.7175082920285 87.9323964825587 9.64233426409744 124.536791125875 32.6345407099365 74.0371739575104 2.26867522406919 1.18185009241202
"245973_at" 0.325491882923972 8.15274497825142 5.57770316172692 16.7021118290745 1.41936321003519 63.8483354346745 4.68531334096744 27.3232701579281 5.83168470697976 2.5439127217271
"245977_at" 772.830278607634 698.549384766516 767.21726409418 1582.83616800514 2138.70640764705 1555.20945534009 746.198975822777 1758.91734366409 2.35716933506196 1.23705540308487
"245982_at" 82.192853109948 17.0113228658992 27.9312442384929 352.075605373703 89.5375167998103 20.3581188197923 42.37847340478 153.990413664435 3.63369421530569 1.86143701818962
"245992_at" 51.968444813277 29.8932024135822 19.3582994666873 134.010065195236 64.7152092538852 29.8296619956079 33.7399822311822 76.1849788149097 2.2580029323341 1.17504735965437
"246011_at" 94.537048938396 35.9586846741943 55.3200007040985 366.144299244049 155.219101087073 30.7665752188301 61.9385781055629 184.043325183317 2.9713844071404 1.57113525828693
"246022_at" 5.44522929861739 14.0496472819224 32.6543501524742 25.0503922872531 13.5372144544499 97.741678748676 17.3830755776713 45.4430951634597 2.61421489887737 1.38637774128687
"246045_at" 287.646239008353 141.330741734525 36.6017444072455 450.341584683132 229.308887020791 316.092697901986 155.192908383374 331.914389868636 2.13872137152495 1.09674854323115
"246054_at" 28.3370119116055 25.1934484907161 66.9158137069471 445.121789218478 171.566247590249 56.2780591421716 40.1487580364229 224.322031983633 5.58727200926435 2.4821440577833
"246069_at" 140.104422584964 22.9328246475756 40.9521320761573 204.265441844822 142.139567579494 185.856963104953 67.9964597695656 177.420657509756 2.60926316033247 1.38364245621379
"246071_at" 956.064980740648 590.763978592138 1209.59037747776 2156.74502373013 2543.67922306635 1327.67880719443 918.806445603515 2009.36768466364 2.18693250823223 1.12890869750483
"246075_at" 17.6552271985614 25.9154665864453 74.7840378865969 311.718122892638 4.05272264546239 30.4900431106892 39.4515772238679 115.420296216263 2.92561931203184 1.54874205506257
"246077_at" 18.4179523003904 35.650489605442 26.8690274008701 405.600507235181 15.1375261631748 39.6864385379686 26.9791564355675 153.474823978775 5.68864428157005 2.5080848702294
"246085_at" 178.806390931691 190.00780852804 157.280462705015 459.66898660895 309.068749481729 369.404714722538 175.364887388249 379.380816937739 2.16337958292534 1.11328682034323
"246105_at" 4.70295335743498 39.840832629021 17.1207220120678 191.134908954517 6.06155546248518 8.81494194402772 20.5548359995079 68.67046878701 3.34084245618179 1.74021195123192
"246114_at" 5820.3674711068 5363.95978585459 3658.23192398684 14711.937310338 14017.1745591287 16173.6572584648 4947.51972698274 14967.5897093105 3.0252713551965 1.59706455238344
"246142_at" 378.910514448667 409.223160949112 249.510859054749 1078.81057170201 1024.93081829204 1064.26399398119 345.881511484176 1056.00179465841 3.05307384059678 1.6102624824941
"246165_at" 91.1039159154582 9.28493908896905 16.1778022728873 594.010512539829 40.310701167297 85.5126198401478 38.8555524257715 239.944611182425 6.17529789702019 2.62650873413657
"246166_at" 4.47227763260498 18.4617945589535 12.2585100100778 211.671174778599 14.8951128861542 58.7010470214795 11.7308607338788 95.0891115620776 8.10589382307301 3.0189712780335
"246175_s_at" 204.418439972846 215.611103561354 43.9407436049928 561.923881518221 164.699827231115 256.709281600196 154.656762379731 327.777663449844 2.11938785221074 1.08364762794524
"246177_at" 4.78129267694294 19.5656423654629 36.9552332302225 111.80295777883 32.0047187373692 21.4431085796328 20.4340560908761 55.083595031944 2.69567602178302 1.43064711749415
"246222_at" 148.160961958058 43.4580534881834 50.3156898584867 226.29384462502 71.1041377102766 276.878734110285 80.6449017682427 191.425572148527 2.37368473333436 1.24712833268047
"246238_at" 484.745317663465 570.373528091747 124.291413248167 1111.50757499706 1186.19968028862 1368.76869348216 393.136753001126 1222.15864958928 3.10873669342683 1.63632842717295
"246251_at" 123.137151357579 41.3042903772431 50.773810204694 48.3668531268965 109.886647731352 300.691728751085 71.738417313172 152.981743203111 2.13249398206366 1.09254167023798
"246271_at" 38.2879778050808 31.6785928337039 23.036296418138 34.7226376319485 55.9491378438078 158.211066486868 31.0009556856409 82.9609473208748 2.67607709136854 1.42011967716513
"246275_at" 60.6200417424605 125.670811893141 21.2708231629203 229.677787978213 247.972248753367 333.441392464919 69.1872255995073 270.363809732166 3.9077128384534 1.96632445354966
"246293_at" 75.2054218217544 30.4496268581461 51.2471617478917 295.39910809707 62.1511427205026 255.122762044716 52.3007368092641 204.224337620763 3.90480804057408 1.96525162756857
"246296_at" 283.833721460888 24.0737193337069 29.3046464542868 221.48470370794 204.598761880254 258.192510497603 112.404029082961 228.091992028599 2.02921544618524 1.020922047274
"246297_at" 19.7377616841957 24.8116033466735 24.1420115919609 247.111677170197 14.8556917791715 13.3953779122329 22.8971255409434 91.7875822872005 4.00869454653035 2.00313249157331
"246299_at" 7.17361258816658 17.7858848465473 28.8988934617819 158.940952926892 39.1367052531144 6.75278246360271 17.9527969654986 68.2768135478697 3.80312960031147 1.92718710292876
"246316_at" 6.4734012083503 30.2424101295661 61.3130194812353 87.3368589435511 85.5789003075199 54.1576962662891 32.6762769397172 75.69115183912 2.31639461186961 1.21188104611314
"246352_at" 4.59607295912345 12.9801376255843 53.1151111166547 294.988818791378 10.6064372767047 7.91929377977181 23.5637739004542 104.504849949285 4.43497931998366 2.14892737735011
"246359_x_at" 87.527609823747 135.917402451437 50.0169596904753 338.82660600024 76.7704273900575 255.521410698218 91.1539906552198 223.706148029505 2.45415638329703 1.29522718307527
"246360_at" 11.6963344556364 22.4407946451927 15.1678957603646 85.6900635236749 12.6540219090261 63.4710813648982 16.4350082870646 53.9383889325331 3.28192039762986 1.71454024697553
"246365_at" 14.0840154139893 49.1608339322568 44.5162899468382 363.455274271671 7.30323562963562 21.5261094166169 35.9203797643614 130.761539772641 3.64031618347133 1.86406376265352
"246369_at" 63.4773231910407 59.5937178959521 37.4816521726819 475.483074805379 91.3844904675753 245.195993734496 53.5175644198916 270.687853002483 5.05792548552291 2.33854578305524
"246380_at" 13.4097526419194 10.7058372157666 60.7692556619434 429.122365561083 49.7184271271218 53.8506928505999 28.2949485065431 177.563828512935 6.27546038727986 2.64972130353849
"246416_at" 3.85305318494981 15.523862404037 45.7824342471408 194.646513135654 58.997347841767 39.0961466974775 21.7197832787092 97.5800025582995 4.49267846304674 2.16757581317066
"246472_at" 21.8632087936054 36.5089903966293 51.7737814049611 99.3483831600512 6.72068549215479 209.085232427514 36.7153268650653 105.05143369324 2.861241957053 1.51664150237299
"246531_at" 4.26355810691043 19.0453244686209 31.149466382628 403.20551937997 29.2682659845946 10.8523308720431 18.1527829860531 147.775372078869 8.14064555238753 3.02514320460206
"246543_at" 94.7435478369755 50.8016836824661 82.8041343719969 133.445597846717 67.7793229714907 272.029247946291 76.1164552971462 157.751389588166 2.0725004727602 1.0513724308157
"246545_at" 42.0388963066203 45.0245756762427 43.2962445466115 39.193051760839 36.4042409637773 191.338762551381 43.4532388431582 88.9786850919991 2.04768821521365 1.0339960646505
"246551_at" 27.2295497854917 31.4634197374648 52.7826254754497 176.342810231673 70.8882040289602 101.165706869114 37.1585316661354 116.132240376582 3.12531833658056 1.64400314632374
"246571_at" 63.1385031716014 9.97151986833292 25.3855651899938 187.497468815079 14.8295589197948 20.9446400430538 32.8318627433094 74.4238892593092 2.2668189691575 1.18066918034769
"246577_at" 45.1551225848783 57.6247095522395 24.8054522306332 312.062719942402 26.2005230923238 59.5972648733741 42.5284281225837 132.6201693027 3.11838869098186 1.64080076370037
"246608_at" 9.96349610781924 15.1562665953594 51.6160886895308 275.87096120048 3.2285046699187 8.70180926226932 25.5786171309031 95.933758377556 3.75054514818365 1.90710030905386
"246618_at" 6.84345587285415 103.097230888371 123.521093314298 277.718138086141 52.2226784419518 155.383671736351 77.8205933585077 161.774829421481 2.07881773242475 1.05576327043562
"246642_s_at" 16.0197172709066 11.5006658530608 27.018390549564 21.3416973502517 6.74215861142593 85.4305505000496 18.1795912245105 37.8381354872424 2.08135238135759 1.05752123984469
"246647_at" 19.8163307463433 27.5881999319204 41.5662350477125 37.6580860730104 56.6235846286424 194.369418674391 29.6569219086587 96.2170297920146 3.2443363504937 1.69792339601469
"246655_at" 8.85952352680045 19.7728234171591 92.2488811085098 35.2600534960875 56.1875012219938 154.982696982574 40.2937426841564 82.1434172335518 2.03861472679356 1.02758914942822
"246661_at" 0.77493660897259 13.0492883804529 11.1509628903616 402.959554914957 2.43376422727031 17.3481762500668 8.3250626265957 140.913831797431 16.9264590691799 4.08120829507711
"246662_at" 51.209564752272 36.2548925511652 55.9141198680669 311.586227624098 20.8565683656773 18.0391284830399 47.792859057168 116.827308157605 2.44445112643001 1.28951056085355
